"start","pi_hat","mu_hat","sigma_hat","sigma2_hat","log_likelihood","iterations","converged"
2,0.656210098196865,0.0380021941843225,0.0181596003754683,0.000329771085796708,41893.1263330241,73,TRUE
13,0.656210101168796,0.0380021941098466,0.0181596003595683,0.000329771085219233,41893.1263330241,92,TRUE
16,0.656210120957412,0.0380021936139461,0.0181596002536985,0.000329771081374126,41893.1263330241,78,TRUE
24,0.656210093033144,0.0380021943137252,0.0181596004030943,0.000329771086800063,41893.1263330236,72,TRUE
28,0.656210093297433,0.0380021943071021,0.0181596004016803,0.000329771086748707,41893.1263330234,81,TRUE
19,0.656210013496425,0.0380021963069057,0.0181596008286193,0.000329771102254792,41893.1263330222,96,TRUE
26,0.656210014043322,0.0380021962931998,0.0181596008256934,0.000329771102148524,41893.1263330219,80,TRUE
5,0.656209991771084,0.0380021968513395,0.0181596009448512,0.000329771106476241,41893.1263330213,75,TRUE
6,0.656209978507427,0.0380021971837253,0.0181596010158126,0.000329771109053503,41893.1263330211,83,TRUE
1,0.656209939420771,0.0380021981632315,0.0181596012249286,0.000329771116648428,41893.1263330199,78,TRUE
10,1e-04,0.047978160287039,0.035738640003212,0.00127725038927918,41750.1690646229,76,TRUE
18,1e-04,0.0479781168955558,0.0357386400082073,0.00127725038963624,41750.1690646228,68,TRUE
20,1e-04,0.0479780440100733,0.0357386400135139,0.00127725039001554,41750.1690646228,60,TRUE
11,1e-04,0.0479781760915555,0.0357386400013925,0.00127725038914913,41750.1690646228,76,TRUE
7,1e-04,0.0479781823747464,0.0357386400006693,0.00127725038909744,41750.1690646228,69,TRUE
22,1e-04,0.0479781549283389,0.0357386400038289,0.00127725038932328,41750.1690646227,54,TRUE
14,1e-04,0.0479781470883265,0.0357386400047314,0.00127725038938779,41750.1690646226,62,TRUE
9,1e-04,0.0479780760766812,0.0357386400129061,0.00127725038997209,41750.1690646226,56,TRUE
15,1e-04,0.0479780935224204,0.0357386400108979,0.00127725038982855,41750.1690646225,61,TRUE
4,1e-04,0.0479781013040278,0.0357386400100021,0.00127725038976452,41750.1690646225,84,TRUE
21,1e-04,0.0479780800116955,0.0357386400124532,0.00127725038993972,41750.1690646225,65,TRUE
23,1e-04,0.0479781780988478,0.0357386400011616,0.00127725038913262,41750.1690646225,66,TRUE
3,1e-04,0.0479781235719681,0.0357386400074387,0.0012772503895813,41750.1690646225,77,TRUE
17,1e-04,0.0479781608603578,0.0357386400031461,0.00127725038927447,41750.1690646225,77,TRUE
29,1e-04,0.0479780948878161,0.0357386400107408,0.00127725038981732,41750.1690646224,72,TRUE
8,1e-04,0.0479781316528704,0.0357386400065083,0.0012772503895148,41750.1690646223,68,TRUE
12,1e-04,0.0479781273296048,0.0357386400070062,0.00127725038955038,41750.1690646222,79,TRUE
30,1e-04,0.0479780731656826,0.0357386400132414,0.00127725038999606,41750.1690646222,54,TRUE
25,1e-04,0.0479781122041653,0.0357386400087473,0.00127725038967484,41750.1690646222,61,TRUE
27,1e-04,0.0479780858796276,0.0357386400117776,0.00127725038989143,41750.1690646222,77,TRUE
