"theta","posterior_density","posterior_mass"
0,3.64939895201599e-16,3.65305200402002e-17
0.1001001001001,3.71627892141025e-16,3.71999892033058e-17
0.2002002002002,3.78450965877541e-16,3.78829795673215e-17
0.3003003003003,3.85412098172137e-16,3.85797896068206e-17
0.4004004004004,3.92514342226774e-16,3.92907249476251e-17
0.500500500500501,3.9976082453123e-16,4.00160985516747e-17
0.600600600600601,4.07154746761184e-16,4.07562309070255e-17
0.700700700700701,4.1469938772907e-16,4.15114502231302e-17
0.800800800800801,4.22398105389283e-16,4.228209263156e-17
0.900900900900901,4.30254338899314e-16,4.30685023923238e-17
1.001001001001,4.38271610738533e-16,4.38710321059593e-17
1.1011011011011,4.46453528886318e-16,4.46900429315634e-17
1.2012012012012,4.54803789061289e-16,4.55259048109399e-17
1.3013013013013,4.63326177023513e-16,4.63789966990504e-17
1.4014014014014,4.72024570941548e-16,4.72497068009559e-17
1.5015015015015,4.80902943826295e-16,4.8138432815445e-17
1.6016016016016,4.89965366033638e-16,4.90455821855494e-17
1.7017017017017,4.99216007838032e-16,4.99715723561594e-17
1.8018018018018,5.08659142079061e-16,5.09168310389451e-17
1.9019019019019,5.18299146883319e-16,5.18817964848168e-17
2.002002002002,5.28140508463774e-16,5.28669177641416e-17
2.1021021021021,5.38187823999071e-16,5.38726550549622e-17
2.2022022022022,5.4844580459517e-16,5.48994799394566e-17
2.3023023023023,5.58919278331834e-16,5.59478757088924e-17
2.4024024024024,5.69613193396566e-16,5.7018337677334e-17
2.5025025025025,5.80532621308722e-16,5.81113735043766e-17
2.6026026026026,5.91682760236465e-16,5.92275035271738e-17
2.7027027027027,6.03068938409576e-16,6.03672611020597e-17
2.8028028028028,6.146966176309e-16,6.15311929560461e-17
2.9029029029029,6.2657139688967e-16,6.27198595485156e-17
3.003003003003,6.38699016079662e-16,6.39338354434097e-17
3.1031031031031,6.51085359825622e-16,6.51737096922545e-17
3.2032032032032,6.63736461421209e-16,6.64400862283494e-17
3.3033033033033,6.76658506881945e-16,6.7733584272467e-17
3.4034034034034,6.89857839116844e-16,6.9054838750435e-17
3.5035035035035,7.03340962222337e-16,7.04045007229568e-17
3.6036036036036,7.17114545902338e-16,7.1783237828062e-17
3.7037037037037,7.31185430018502e-16,7.31917347365869e-17
3.8038038038038,7.45560629274635e-16,7.46306936210847e-17
3.9039039039039,7.60247338039638e-16,7.61008346386026e-17
4.004004004004,7.75252935313186e-16,7.76028964277464e-17
4.1041041041041,7.90584989838838e-16,7.91376366205045e-17
4.2042042042042,8.06251265369104e-16,8.07058323692798e-17
4.3043043043043,8.22259726087439e-16,8.23082808896337e-17
4.4044044044044,8.38618542192002e-16,8.39458000192195e-17
4.5045045045045,8.55336095646489e-16,8.56192287934425e-17
4.6046046046046,8.72420986103286e-16,8.73294280383671e-17
4.7047047047047,8.89882037004516e-16,8.90772809814332e-17
