"stage","alpha_hat","beta_hat","log_likelihood","alpha_min","alpha_max","beta_min","beta_max","grid_points"
"coarse",2.12311557788945,67.713567839196,42269.4092545757,0.5,10,5,200,40000
"refined",2.13911896164238,68.2239716168784,42269.5913551588,1.06155778894472,3.18467336683417,33.856783919598,101.570351758794,40000
