"method","alpha_hat","beta_hat","log_likelihood","model_implied_variance","empirical_variance","delta_alpha_vs_grid","delta_beta_vs_grid"
"grid_search",2.13911896164238,68.2239716168784,42269.5913551588,0.000413055559221368,0.000352506328093004,0,0
"optim_logscale",2.13670427022661,68.1959598714039,42269.6059365536,0.000412952864712039,0.000352506328093004,-0.00241469141577655,-0.0280117454744584
