"alpha0","beta"
23.4939759036145,-0.98714859437751
21.2449799196787,-0.653012048192771
25.2610441767068,-1.04979919678715
22.5301204819277,-0.600803212851406
23.1726907630522,-0.0787148594377509
23.1726907630522,-0.130923694779116
21.8875502008032,-0.955823293172691
26.706827309237,-1.49879518072289
24.7791164658635,-1.31084337349398
24.6184738955823,-1.15421686746988
24.7791164658635,-0.444176706827309
22.6907630522088,-0.339759036144578
25.421686746988,-1.10200803212851
24.2971887550201,-0.204016064257028
23.1726907630522,-0.924497991967871
21.7269076305221,-0.339759036144578
25.7429718875502,-1.20642570281125
26.5461847389558,-0.475502008032128
27.5100401606426,-0.736546184738956
25.1004016064257,-1.03935742971888
23.1726907630522,-1.40481927710843
25.2610441767068,-0.120481927710843
26.3855421686747,-1.3004016064257
22.3694779116466,-0.621686746987952
23.1726907630522,0.109236947791165
24.9397590361446,-1.09156626506024
23.4939759036145,-1.49879518072289
24.136546184739,-0.85140562248996
24.4578313253012,-1.46746987951807
24.9397590361446,-1.26907630522088
22.6907630522088,-1.48835341365462
22.3694779116466,-1.42570281124498
23.6546184738956,-0.955823293172691
24.136546184739,-1.70763052208835
24.6184738955823,-1.79116465863454
26.706827309237,-0.663453815261044
24.9397590361446,-1.54056224899598
21.7269076305221,-0.287550200803213
23.0120481927711,0.589558232931727
22.6907630522088,-0.976706827309237
27.1887550200803,-1.56144578313253
24.6184738955823,-0.809638554216867
27.0281124497992,-0.00562248995983916
24.2971887550201,-1.04979919678715
25.9036144578313,-1.22730923694779
23.6546184738956,-0.318875502008032
23.8152610441767,-0.475502008032128
26.0642570281125,-1.27951807228916
25.5823293172691,-0.663453815261044
23.4939759036145,-1.31084337349398
19.9598393574297,-0.339759036144578
26.3855421686747,-0.903614457831325
24.9397590361446,-1.33172690763052
23.6546184738956,0.265863453815261
24.6184738955823,-0.98714859437751
26.706827309237,-0.485943775100401
25.2610441767068,-1.41526104417671
24.7791164658635,-1.94779116465863
23.4939759036145,-1.5718875502008
23.4939759036145,-0.861847389558233
24.6184738955823,-1.44658634538153
22.6907630522088,-0.767871485943775
25.2610441767068,-0.381526104417671
26.5461847389558,-1.00803212851406
25.1004016064257,-0.757429718875502
24.4578313253012,-0.204016064257028
23.1726907630522,-0.235341365461847
24.9397590361446,-1.19598393574297
25.7429718875502,-1.27951807228916
24.4578313253012,-1.40481927710843
24.6184738955823,-0.444176706827309
23.6546184738956,-0.997590361445783
26.5461847389558,-1.69718875502008
23.1726907630522,-1.00803212851406
24.9397590361446,-0.903614457831325
23.6546184738956,-1.69718875502008
25.1004016064257,-1.42570281124498
24.136546184739,-1.46746987951807
23.4939759036145,-1.09156626506024
27.1887550200803,-1.55100401606426
23.4939759036145,-0.746987951807229
24.4578313253012,-0.423293172690763
27.6706827309237,-0.98714859437751
27.5100401606426,-0.934939759036144
22.5301204819277,-0.736546184738956
25.421686746988,0.0674698795180726
23.3333333333333,-0.799196787148594
22.3694779116466,-0.767871485943775
26.2248995983936,-0.98714859437751
22.6907630522088,-0.767871485943775
22.85140562249,-0.788755020080321
24.6184738955823,-0.538152610441767
24.9397590361446,-0.642570281124498
23.6546184738956,0.0152610441767069
26.2248995983936,-1.20642570281125
26.706827309237,-1.43614457831325
24.9397590361446,-0.11004016064257
23.6546184738956,-0.590361445783132
23.8152610441767,-1.5718875502008
20.7630522088353,-0.611244979919679
24.9397590361446,-0.778313253012048
23.3333333333333,-1.50923694779116
24.9397590361446,-1.26907630522088
21.7269076305221,-0.517269076305221
23.0120481927711,-0.663453815261044
28.3132530120482,-0.381526104417671
23.3333333333333,-0.350200803212851
26.2248995983936,-1.71807228915663
25.5823293172691,-0.694779116465863
25.2610441767068,-1.5718875502008
25.1004016064257,-1.33172690763052
23.6546184738956,-1.59277108433735
23.0120481927711,-0.24578313253012
26.2248995983936,-1.69718875502008
