"year","lambda","y_star"
1986,17.5710843373494,18
1986,17.3269076305221,26
1986,18.9622489959839,13
1986,18.9253012048193,17
1986,22.7004016064257,16
1986,22.3871485943775,16
1986,16.1526104417671,29
1986,17.7140562248996,14
1986,16.9140562248996,14
1986,17.6931726907631,19
1986,22.1140562248996,26
1986,20.6522088353414,16
1986,18.8096385542169,18
1986,23.0730923694779,23
1986,17.625702811245,14
1986,19.6883534136546,22
1986,18.5044176706827,14
1986,23.6931726907631,25
1986,23.0907630522088,30
1986,18.8642570281124,23
1986,14.7437751004016,12
1986,24.5381526104418,24
1986,18.5831325301205,18
1986,18.6393574297189,16
1986,23.8281124497992,21
1986,18.3903614457831,20
1986,14.5012048192771,13
1986,19.0281124497992,18
1986,15.6530120481928,18
1986,17.3253012048193,12
1986,13.7606425702811,14
1986,13.8152610441767,8
1986,17.9196787148594,19
1986,13.8907630522088,15
1986,13.8714859437751,17
1986,22.7261044176707,15
1986,15.6963855421687,20
1986,20.0016064257028,25
1986,26.5493975903614,25
1986,16.8305220883534,26
1986,17.8200803212851,25
1986,19.7606425702811,15
1986,26.9943775100402,22
1986,17.9983935742972,10
1986,18.5397590361446,24
1986,21.7413654618474,25
1986,20.9622489959839,15
1986,18.3871485943775,22
1986,21.6016064257028,34
1986,15.6289156626506,10
1986,17.9212851405623,11
1986,20.9638554216867,22
1986,16.9493975903614,16
1986,25.2497991967872,25
1986,18.6955823293173,5
1986,23.7911646586345,23
1986,16.7694779116466,19
1986,13.0923694779116,18
1986,14.0626506024096,16
1986,18.3228915662651,17
1986,15.9389558232932,20
1986,18.0835341365462,14
1986,22.9718875502008,18
1986,20.4979919678715,24
1986,20.5558232931727,25
1986,23.233734939759,18
1986,21.7606425702811,21
1986,17.7638554216867,19
1986,18.0658634538153,19
1986,16.0289156626506,19
1986,21.9534136546185,21
1986,17.6690763052209,15
1986,16.3630522088353,15
1986,17.1244979919679,18
1986,19.5180722891566,23
1986,13.4714859437751,17
1986,16.5461847389558,15
1986,15.3317269076305,9
1986,16.944578313253,18
1986,17.8827309236948,12
1986,19.0120481927711,19
1986,21.9180722891566,24
1986,21.7477911646586,28
1986,21.9004016064257,21
1986,18.110843373494,14
1986,25.8265060240964,35
1986,18.5381526104418,22
1986,17.7622489959839,13
1986,20.3020080321285,18
1986,18.0835341365462,20
1986,18.118875502008,24
1986,21.3895582329317,20
1986,21.0843373493976,22
1986,23.7461847389558,17
1986,18.9863453815261,18
1986,18.0899598393574,21
1986,24.2795180722892,25
1986,20.1124497991968,19
1986,14.3839357429719,12
1986,17.0955823293173,17
1986,20.2698795180723,17
1986,14.2779116465863,15
1986,17.3253012048193,15
1986,18.6232931726908,19
1986,19.0313253012048,21
1986,26.0240963855422,30
1986,21.2321285140562,20
1986,15.9164658634538,16
1986,21.4136546184739,24
1986,15.829718875502,15
1986,17.1100401606426,16
1986,14.0979919678715,12
1986,21.5373493975904,14
1986,16.0417670682731,21
1986,14.629718875502,13
1986,17.5630522088353,28
1986,22.366265060241,24
