"alpha0","beta","posterior_mass"
10,-2,0
10.1606425702811,-2,4.49275039634462e-77
10.3212851405622,-2,3.55596951252258e-69
10.4819277108434,-2,4.3304776598291e-64
10.6425702811245,-2,3.45351392205849e-60
10.8032128514056,-2,5.88447953478148e-57
10.9638554216867,-2,3.64449380882004e-54
11.1244979919679,-2,1.09277638343289e-51
11.285140562249,-2,1.88667685447137e-49
11.4457831325301,-2,2.10115178115048e-47
11.6064257028112,-2,1.63327107319516e-45
11.7670682730924,-2,9.38367239587863e-44
11.9277108433735,-2,4.16025895978387e-42
12.0883534136546,-2,1.47164199835251e-40
12.2489959839357,-2,4.26504897409225e-39
12.4096385542169,-2,1.03466616402187e-37
12.570281124498,-2,2.13846057229665e-36
12.7309236947791,-2,3.82153029587029e-35
12.8915662650602,-2,5.97908248122571e-34
13.0522088353414,-2,8.27823465778299e-33
13.2128514056225,-2,1.02367542027489e-31
13.3734939759036,-2,1.13975120381247e-30
13.5341365461847,-2,1.15069210879071e-29
13.6947791164659,-2,1.06006889512749e-28
13.855421686747,-2,8.96111361401428e-28
14.0160642570281,-2,6.98581802133912e-27
14.1767068273092,-2,5.04496655868567e-26
14.3373493975904,-2,3.38888781818553e-25
14.4979919678715,-2,2.12532142343098e-24
14.6586345381526,-2,1.24862012475862e-23
14.8192771084337,-2,6.89319361978813e-23
14.9799196787149,-2,3.58618113311118e-22
15.140562248996,-2,1.76281264299737e-21
15.3012048192771,-2,8.20723636209444e-21
15.4618473895582,-2,3.62729134970503e-20
15.6224899598394,-2,1.52500628819134e-19
15.7831325301205,-2,6.11098878957117e-19
15.9437751004016,-2,2.33826074732352e-18
16.1044176706827,-2,8.55768239408506e-18
16.2650602409639,-2,3.00051077819883e-17
16.425702811245,-2,1.00939695019962e-16
16.5863453815261,-2,3.2626469650693e-16
16.7469879518072,-2,1.01460683716707e-15
16.9076305220884,-2,3.03942234712005e-15
17.0682730923695,-2,8.78144674371804e-15
17.2289156626506,-2,2.44969243873824e-14
17.3895582329317,-2,6.60527420188349e-14
17.5502008032129,-2,1.72323201574189e-13
17.710843373494,-2,4.35399844912356e-13
17.8714859437751,-2,1.06640485683233e-12
18.0321285140562,-2,2.53410218824128e-12
18.1927710843374,-2,5.84730203012294e-12
18.3534136546185,-2,1.31117634785812e-11
18.5140562248996,-2,2.8593693855078e-11
18.6746987951807,-2,6.06873242136857e-11
18.8353413654618,-2,1.2544280722129e-10
18.995983935743,-2,2.52698332323091e-10
19.1566265060241,-2,4.96414750757399e-10
19.3172690763052,-2,9.51564628312176e-10
19.4779116465863,-2,1.78089470600067e-09
19.6385542168675,-2,3.25603883727497e-09
19.7991967871486,-2,5.81872581918083e-09
19.9598393574297,-2,1.01690381034276e-08
20.1204819277108,-2,1.73885654898938e-08
20.281124497992,-2,2.91064856394796e-08
20.4417670682731,-2,4.77156201009212e-08
20.6024096385542,-2,7.66428434789237e-08
20.7630522088353,-2,1.20673384564115e-07
20.9236947791165,-2,1.86321228226076e-07
21.0843373493976,-2,2.82227981593105e-07
21.2449799196787,-2,4.19560627269099e-07
21.4056224899598,-2,6.12365526497659e-07
21.566265060241,-2,8.77823432168006e-07
21.7269076305221,-2,1.23634023706423e-06
21.8875502008032,-2,1.71140316974613e-06
22.0481927710843,-2,2.32913462532769e-06
22.2088353413655,-2,3.11748782723815e-06
22.3694779116466,-2,4.1050512031086e-06
22.5301204819277,-2,5.31946152189852e-06
22.6907630522088,-2,6.78546762472176e-06
22.85140562249,-2,8.52273339707234e-06
23.0120481927711,-2,1.05435153578314e-05
23.1726907630522,-2,1.28503907538783e-05
23.3333333333333,-2,1.54342399961481e-05
23.4939759036145,-2,1.82726970227241e-05
23.6546184738956,-2,2.13292687820506e-05
23.8152610441767,-2,2.455328904699e-05
23.9759036144578,-2,2.78808137487416e-05
24.136546184739,-2,3.12364895794293e-05
24.2971887550201,-2,3.45363420441045e-05
24.4578313253012,-2,3.76913425651028e-05
24.6184738955823,-2,4.06115364364574e-05
24.7791164658635,-2,4.32104535248284e-05
24.9397590361446,-2,4.54094888449879e-05
25.1004016064257,-2,4.71419348270422e-05
25.2610441767068,-2,4.83563720804615e-05
25.421686746988,-2,4.90191780109116e-05
25.5823293172691,-2,4.91159868706414e-05
25.7429718875502,-2,4.86520225047722e-05
25.9036144578313,-2,4.76513167777519e-05
26.0642570281125,-2,4.61549130205244e-05
26.2248995983936,-2,4.42182265799888e-05
26.3855421686747,-2,4.1907787489296e-05
26.5461847389558,-2,3.92976198426897e-05
26.706827309237,-2,3.64655178882497e-05
26.8674698795181,-2,3.34894619844078e-05
27.0281124497992,-2,3.0444382352301e-05
27.1887550200803,-2,2.73994303581615e-05
27.3493975903614,-2,2.44158618764238e-05
27.5100401606426,-2,2.15455810038181e-05
27.6706827309237,-2,1.88303401701605e-05
27.8313253012048,-2,1.63015485014744e-05
27.9919678714859,-2,1.39806067041117e-05
28.1526104417671,-2,1.18796648830102e-05
28.3132530120482,-2,1.00026894071827e-05
28.4738955823293,-2,8.34672496936424e-06
28.6345381526104,-2,6.9032464102171e-06
28.7951807228916,-2,5.65950936330705e-06
28.9558232931727,-2,4.59982692387753e-06
29.1164658634538,-2,3.70671912933879e-06
29.2771084337349,-2,2.96190119496283e-06
29.4377510040161,-2,2.34709376208941e-06
29.5983935742972,-2,1.84465296054694e-06
29.7590361445783,-2,1.43802939055379e-06
29.9196787148594,-2,1.11207311026637e-06
30.0803212851406,-2,8.53206590721196e-07
30.2409638554217,-2,6.49489790641471e-07
30.4016064257028,-2,4.90601541517237e-07
30.5622489959839,-2,3.6775988473255e-07
30.7228915662651,-2,2.73601407960893e-07
30.8835341365462,-2,2.02036462239684e-07
31.0441767068273,-2,1.48093790032896e-07
31.2048192771084,-2,1.07764847788116e-07
31.3654618473896,-2,7.78551607354152e-08
31.5261044176707,-2,5.58475179772246e-08
31.6867469879518,-2,3.97797507312337e-08
31.8473895582329,-2,2.8138234335271e-08
32.0080321285141,-2,1.97670795186673e-08
