"alpha","beta","log_likelihood"
0.534176067556652,17.048989967851,35931.9841237949
0.571131644557426,17.048989967851,36421.1768459858
0.608087221558201,17.048989967851,36825.1779404036
0.645042798558976,17.048989967851,37152.5010282453
0.68199837555975,17.048989967851,37410.2993206258
0.718953952560525,17.048989967851,37604.6488006683
0.7559095295613,17.048989967851,37740.7607357191
0.792865106562074,17.048989967851,37823.143742827
0.829820683562849,17.048989967851,37855.7291776793
0.866776260563624,17.048989967851,37841.9694162671
0.903731837564398,17.048989967851,37784.9158021469
0.940687414565173,17.048989967851,37687.2811329959
0.977642991565947,17.048989967851,37551.4902467197
1.01459856856672,17.048989967851,37379.7213438807
1.0515541455675,17.048989967851,37173.9400240209
1.08850972256827,17.048989967851,36935.9275363554
1.12546529956905,17.048989967851,36667.3043955662
1.16242087656982,17.048989967851,36369.5502539954
1.1993764535706,17.048989967851,36044.0207269897
1.23633203057137,17.048989967851,35691.9617207515
1.27328760757214,17.048989967851,35314.5216993316
1.31024318457292,17.048989967851,34912.7622404142
1.34719876157369,17.048989967851,34487.6671618683
1.38415433857447,17.048989967851,34040.150447975
1.42110991557524,17.048989967851,33571.0631623193
1.45806549257602,17.048989967851,33081.1995009941
1.49502106957679,17.048989967851,32571.3021130718
1.53197664657757,17.048989967851,32042.066793795
1.56893222357834,17.048989967851,31494.1466385178
1.60588780057912,17.048989967851,30928.1557312304
1.64284337757989,17.048989967851,30344.6724298746
1.67979895458067,17.048989967851,29744.2423010876
1.71675453158144,17.048989967851,29127.3807490909
1.75371010858222,17.048989967851,28494.5753768701
1.79066568558299,17.048989967851,27846.2881122944
1.82762126258376,17.048989967851,27182.957127233
1.86457683958454,17.048989967851,26504.9985738496
1.90153241658531,17.048989967851,25812.8081589926
1.93848799358609,17.048989967851,25106.7625748265
1.97544357058686,17.048989967851,24387.2208014964
2.01239914758764,17.048989967851,23654.5252956049
2.04935472458841,17.048989967851,22909.0030765615
2.08631030158919,17.048989967851,22150.9667213858
2.12326587858996,17.048989967851,21380.7152772731
2.16022145559074,17.048989967851,20598.5351001302
2.19717703259151,17.048989967851,19804.7006263384
2.23413260959229,17.048989967851,18999.4750841726
2.27108818659306,17.048989967851,18183.1111505829
2.30804376359383,17.048989967851,17355.8515584211
2.34499934059461,17.048989967851,16517.9296586398
2.38195491759538,17.048989967851,15669.5699415099
2.41891049459616,17.048989967851,14810.9885204817
2.45586607159693,17.048989967851,13942.3935819359
2.49282164859771,17.048989967851,13063.9858037455
2.52977722559848,17.048989967851,12175.9587452739
2.56673280259926,17.048989967851,11278.4992111798
2.60368837960003,17.048989967851,10371.7875911675
2.64064395660081,17.048989967851,9455.99817761547
2.67759953360158,17.048989967851,8531.29946283933
2.71455511060236,17.048989967851,7597.85441757594
2.75151068760313,17.048989967851,6655.8207521357
2.7884662646039,17.048989967851,5705.3511615367
2.82542184160468,17.048989967851,4746.59355581851
2.86237741860545,17.048989967851,3779.69127662857
2.89933299560623,17.048989967851,2804.78330107929
2.936288572607,17.048989967851,1822.00443378883
2.97324414960778,17.048989967851,831.485487942402
3.01019972660855,17.048989967851,-166.646543859963
3.04715530360933,17.048989967851,-1172.2683282646
3.0841108806101,17.048989967851,-2185.26003868787
3.12106645761088,17.048989967851,-3205.50521110673
3.15802203461165,17.048989967851,-4232.89060756844
3.19497761161243,17.048989967851,-5267.30608691346
3.2319331886132,17.048989967851,-6308.64448224521
3.26888876561398,17.048989967851,-7356.8014847157
3.30584434261475,17.048989967851,-8411.67553322824
3.34279991961552,17.048989967851,-9473.16770968855
3.3797554966163,17.048989967851,-10541.1816394614
3.41671107361707,17.048989967851,-11615.6233967172
3.45366665061785,17.048989967851,-12696.4014143719
3.49062222761862,17.048989967851,-13783.4263983501
3.5275778046194,17.048989967851,-14876.6112459132
3.56453338162017,17.048989967851,-15975.8709678184
3.60148895862095,17.048989967851,-17081.1226140881
3.63844453562172,17.048989967851,-18192.2852031828
3.6754001126225,17.048989967851,-19309.279654387
3.71235568962327,17.048989967851,-20432.0287232292
3.74931126662405,17.048989967851,-21560.4569397676
3.78626684362482,17.048989967851,-22694.4905495868
3.8232224206256,17.048989967851,-23834.0574573585
3.86017799762637,17.048989967851,-24979.0871728285
3.89713357462714,17.048989967851,-26129.5107591034
3.93408915162792,17.048989967851,-27285.2607831151
3.97104472862869,17.048989967851,-28446.2712681516
4.00800030562947,17.048989967851,-29612.4776483469
4.04495588263024,17.048989967851,-30783.8167250315
4.08191145963102,17.048989967851,-31960.2266248494
4.11886703663179,17.048989967851,-33141.6467595541
4.15582261363257,17.048989967851,-34328.0177873994
4.19277819063334,17.048989967851,-35519.28157605
4.22973376763412,17.048989967851,-36715.3811669343
4.26668934463489,17.048989967851,-37916.260740974
4.30364492163567,17.048989967851,-39121.8655856238
4.34060049863644,17.048989967851,-40332.1420631565
4.37755607563721,17.048989967851,-41547.0375801425
4.41451165263799,17.048989967851,-42766.50055806
4.45146722963876,17.048989967851,-43990.4804049907
4.48842280663954,17.048989967851,-45218.927488349
4.52537838364031,17.048989967851,-46451.7931085971
4.56233396064109,17.048989967851,-47689.029473905
4.59928953764186,17.048989967851,-48930.5896757109
4.63624511464264,17.048989967851,-50176.4276651437
4.67320069164341,17.048989967851,-51426.4982302704
4.71015626864419,17.048989967851,-52680.756974132
4.74711184564496,17.048989967851,-53939.1602935348
4.78406742264574,17.048989967851,-55201.665358564
4.82102299964651,17.048989967851,-56468.230092792
4.85797857664728,17.048989967851,-57738.813154148
4.89493415364806,17.048989967851,-59013.3739164265
4.93188973064883,17.048989967851,-60291.8724514035
4.96884530764961,17.048989967851,-61574.2695115402
5.00580088465038,17.048989967851,-62860.5265132476
5.04275646165116,17.048989967851,-64150.6055206898
5.07971203865193,17.048989967851,-65444.4692301063
5.11666761565271,17.048989967851,-66742.0809546307
5.15362319265348,17.048989967851,-68043.4046095871
5.19057876965426,17.048989967851,-69348.404698247
5.22753434665503,17.048989967851,-70657.0462980265
5.26448992365581,17.048989967851,-71969.2950471086
5.30144550065658,17.048989967851,-73285.1171314749
5.33840107765736,17.048989967851,-74604.4792723287
5.37535665465813,17.048989967851,-75927.3487138981
5.4123122316589,17.048989967851,-77253.6932116026
5.44926780865968,17.048989967851,-78583.4810205709
5.48622338566045,17.048989967851,-79916.6808844967
5.52317896266123,17.048989967851,-81253.2620248202
5.560134539662,17.048989967851,-82593.1941302237
5.59709011666278,17.048989967851,-83936.4473464296
5.63404569366355,17.048989967851,-85282.992266291
5.67100127066433,17.048989967851,-86632.7999201634
5.7079568476651,17.048989967851,-87985.841766548
5.74491242466588,17.048989967851,-89342.0896829979
5.78186800166665,17.048989967851,-90701.515957277
5.81882357866743,17.048989967851,-92064.0932787636
5.8557791556682,17.048989967851,-93429.7947300892
5.89273473266898,17.048989967851,-94798.5937790074
5.92969030966975,17.048989967851,-96170.464270481
5.96664588667052,17.048989967851,-97545.3804189833
6.0036014636713,17.048989967851,-98923.3168010057
6.04055704067207,17.048989967851,-100304.248347763
6.07751261767285,17.048989967851,-101688.150338092
6.11446819467362,17.048989967851,-103074.998391537
6.1514237716744,17.048989967851,-104464.768461617
6.18837934867517,17.048989967851,-105857.436829259
6.22533492567595,17.048989967851,-107252.980096416
6.26229050267672,17.048989967851,-108651.375179828
6.2992460796775,17.048989967851,-110052.599304964
6.33620165667827,17.048989967851,-111456.630000095
6.37315723367905,17.048989967851,-112863.445090534
6.41011281067982,17.048989967851,-114273.022693006
0.534176067556652,18.2284798398407,35924.8129881654
0.571131644557426,18.2284798398407,36453.4879227445
