"customer","arrival_time","wait_time"
1,6.37868077959865,0
2,18.1624996052579,0
3,32.7437134027917,0
4,37.9429560794,0
5,47.0579247532373,0
6,93.0011559508056,0
7,95.8290328595103,0
8,102.727273613891,0
9,110.298750674609,0
10,110.563833968301,0
11,111.506429113035,0.506845798501715
12,124.850781879486,0
13,158.445149456431,0
14,202.137520591351,0
15,208.253964570905,0
16,209.354746014434,0
17,215.004228929612,0
18,238.720250536913,0
19,238.850281038456,0
