"start","pi_hat","mu_hat","sigma_hat","sigma2_hat","log_likelihood","iterations","converged"
17,0.656210090933332,0.0380021943663459,0.0181596004143283,0.000329771087208074,41893.126333024,99,TRUE
18,0.65621009784474,0.0380021941931467,0.0181596003773521,0.000329771085865125,41893.1263330239,74,TRUE
3,0.656210090949897,0.0380021943659311,0.0181596004142398,0.000329771087204858,41893.1263330238,75,TRUE
26,0.656210071392388,0.0380021948560399,0.0181596005188733,0.000329771091005062,41893.1263330231,75,TRUE
11,0.656210080667472,0.0380021946236072,0.018159600469251,0.000329771089202822,41893.126333023,76,TRUE
13,0.656210073129968,0.0380021948124959,0.0181596005095772,0.000329771090667436,41893.126333023,82,TRUE
20,0.656209962149498,0.0380021975936525,0.0181596011033284,0.000329771112232006,41893.1263330206,74,TRUE
2,0.656209954800037,0.038002197777829,0.0181596011426485,0.00032977111366008,41893.12633302,84,TRUE
10,0.656209898004708,0.0380021992011125,0.0181596014465075,0.000329771124695996,41893.126333019,79,TRUE
25,0.656209869025469,0.0380021999273281,0.0181596016015487,0.000329771130326971,41893.1263330184,81,TRUE
27,1e-04,0.0479780744564855,0.0357386400130927,0.00127725038998543,41750.1690646228,70,TRUE
6,1e-04,0.0479781471427148,0.0357386400047253,0.00127725038938735,41750.1690646227,63,TRUE
5,1e-04,0.0479781372082357,0.035738640005869,0.0012772503894691,41750.1690646227,73,TRUE
23,1e-04,0.0479781333297254,0.0357386400063153,0.001277250389501,41750.1690646227,63,TRUE
21,1e-04,0.0479781098284991,0.0357386400090207,0.00127725038969437,41750.1690646227,51,TRUE
14,1e-04,0.0479781866162898,0.0357386400001813,0.00127725038906256,41750.1690646226,63,TRUE
4,1e-04,0.047978156478788,0.0357386400036505,0.00127725038931052,41750.1690646226,56,TRUE
16,1e-04,0.0479780683458951,0.0357386400137963,0.00127725039003572,41750.1690646226,77,TRUE
8,1e-04,0.0479781535385694,0.035738640003989,0.00127725038933472,41750.1690646225,104,TRUE
12,1e-04,0.0479781710687998,0.0357386400019709,0.00127725038919048,41750.1690646225,63,TRUE
19,1e-04,0.047978101681727,0.0357386400099585,0.00127725038976141,41750.1690646225,68,TRUE
9,1e-04,0.0479780632462158,0.0357386400143833,0.00127725039007768,41750.1690646224,66,TRUE
28,1e-04,0.0479781087394635,0.0357386400091461,0.00127725038970334,41750.1690646224,67,TRUE
7,1e-04,0.0479781306336546,0.0357386400066257,0.00127725038952319,41750.1690646224,59,TRUE
22,1e-04,0.047978082024254,0.0357386400122216,0.00127725038992317,41750.1690646224,98,TRUE
29,1e-04,0.0479780751164514,0.0357386400130168,0.00127725038998,41750.1690646223,58,TRUE
15,1e-04,0.0479781135457713,0.0357386400085928,0.00127725038966379,41750.1690646222,65,TRUE
30,1e-04,0.0479780599028822,0.0357386400147681,0.00127725039010519,41750.1690646222,61,TRUE
24,1e-04,0.047978075558432,0.0357386400129661,0.00127725038997638,41750.1690646222,76,TRUE
1,1e-04,0.0479780823958519,0.0357386400121788,0.00127725038992011,41750.1690646221,71,TRUE
