"n","k","prior_predictive_probability","expected_uniform_probability"
10,0,0.0909090909090909,0.0909090909090909
10,1,0.0909090909090909,0.0909090909090909
10,2,0.0909090909090909,0.0909090909090909
10,3,0.0909090909090909,0.0909090909090909
10,4,0.0909090909090909,0.0909090909090909
10,5,0.0909090909090909,0.0909090909090909
10,6,0.0909090909090909,0.0909090909090909
10,7,0.0909090909090909,0.0909090909090909
10,8,0.0909090909090909,0.0909090909090909
10,9,0.0909090909090909,0.0909090909090909
10,10,0.0909090909090909,0.0909090909090909
