"start","pi_hat","mu_hat","sigma_hat","sigma2_hat","alpha_hat","beta_hat","log_likelihood","iterations","converged"
3,0.264896395086482,0.0424029874569106,0.0144827054997967,0.000209748758593841,1.92470370091017,71.8496920473123,42525.7665994325,195,TRUE
4,0.264896305039124,0.0424029889580178,0.0144827038997708,0.000209748712248438,1.92470373329185,71.8496891163915,42525.7665994042,190,TRUE
1,0.264894951333838,0.0424030124871017,0.0144826801838692,0.000209748025308238,1.9247043076844,71.8496493589879,42525.766598976,183,TRUE
2,0.264893523672197,0.0424030369566354,0.0144826550506973,0.000209747297317488,1.92470488204876,71.8496058875769,42525.7665985147,200,FALSE
5,0.264838629579814,0.0424039957086625,0.0144816942785224,0.000209719469176587,1.92472855184772,71.8480138366777,42525.7665736566,200,FALSE
